user_id,full_name,pan_masked,pan_valid,aadhaar_masked,aadhaar_valid,date_of_birth,city,state,monthly_income,income_was_negative,income_missing,occupation,signup_timestamp,kyc_status,risk_segment,risk_segment_missing
USR71636,ZAITRA SHUKLA,GAXXXXXX3N,True,XXXXXXXX4055,False,1977-08-24,Pune,Maharashtra,28606.0,False,False,Student,2026-03-31 00:00:00,VERIFIED,LOW,False
USR12725,Girik Bajwa,T0XXXXXX7S,False,XXXXXXXX8770,True,1999-10-15,Hyderabad,Telangana,31919.0,False,False,Salaried,2026-03-31 00:00:00,VERIFIED,MEDIUM,False
USR40644,Reyansh Garg,UAXXXXXX2I,True,XXXXXXXX8421,True,1966-03-28,Ludhiana,Punjab,51767.0,False,False,Retired,2026-03-31 00:00:00,VERIFIED,LOW,False
USR52626,Raagini Dhar,GKXXXXXX7S,True,XXXXXXXXXXXX,False,1996-09-30,Delhi,Delhi,34901.0,False,False,Student,2026-03-30 22:44:00,PENDING,LOW,False
USR17442,Isha Kakar,KGXXXXXX6I,True,XXXXXXXX74XX,False,1990-04-14,Ludhiana,Punjab,28091.0,False,False,Gig Worker,2026-03-30 14:37:42,VERIFIED,LOW,False
USR40150,Logan Dhar,JRXXXXXX5F,True,XXXXXXXX6787,True,1984-03-01,Delhi,Delhi,16012.0,False,False,Farmer,2026-03-30 09:05:00,PENDING,LOW,False
USR51566,Timothy Bandi,NAXXXXXX0Y,True,XXXXXXXXXXXX,False,1964-07-06,Jaipur,Rajasthan,14799.0,False,False,Retired,2026-03-30 07:38:00,VERIFIED,MEDIUM,False
USR89591,arjun ghose,FHXXXXXX0N,True,XXXXXXXX9840,True,2002-11-27,Amritsar,Punjab,15000.0,False,False,Gig Worker,2026-03-30 03:55:46,VERIFIED,MEDIUM,False
USR26008,ALEXANDER SHETH,NZXXXXXX9O,True,XXXXXXXX0938,True,1968-03-19,Chennai,Tamil Nadu,42311.0,False,False,Farmer,2026-03-30 02:56:00,VERIFIED,LOW,False
USR79590,Charan Jaggi,ZEXXXXXX9C,True,XXXXXXXX3560,True,1991-08-06,Amritsar,Punjab,22543.0,True,False,Unemployed,2026-03-30 00:00:00,PENDING,LOW,False
USR57759,Sathvik Shan,EIXXXXXX2Y,True,XXXXXXXX5640,True,2002-01-26,Lucknow,Uttar Pradesh,23400.0,False,False,Retired,2026-03-30 00:00:00,VERIFIED,LOW,False
USR30313,Aayush Bhagat,LBXXXXXX7R,True,XXXXXXXX0113,True,1963-08-28,Mumbai,Maharashtra,48017.0,False,False,Gig Worker,2026-03-30 00:00:00,PENDING,LOW,False
USR60127,Chandani Merchant,QPXXXXXX1K,True,XXXXXXXX1062,True,1963-04-25,Ludhiana,Punjab,62756.0,False,False,Business Owner,2026-03-30 00:00:00,VERIFIED,MEDIUM,False
USR13832,Qadim Mukherjee,DWXXXXXX6T,True,XXXXXXXX8478,True,1964-01-10,Delhi,Delhi,15064.0,False,False,Student,2026-03-30 00:00:00,VERIFIED,LOW,False
USR97838,NEEL TALWAR,USXXXXXX4X,True,XXXXXXXX4667,True,1977-08-01,Chennai,Tamil Nadu,24496.0,False,False,Gig Worker,2026-03-30 00:00:00,VERIFIED,MEDIUM,False
USR24334,Frado Palla,EEXXXXXX4A,True,XXXXXXXX7575,True,1981-11-18,Jalandhar,Punjab,14640.0,False,False,Business Owner,2026-03-30 00:00:00,VERIFIED,LOW,False
USR93690,Gayathri Kulkarni,QIXXXXXX1Q,True,XXXXXXXX5853,True,1988-03-14,Ludhiana,Punjab,37023.0,False,False,Student,2026-03-30 00:00:00,REJECTED,HIGH,False
USR37454,Vasana Jain,CPXXXXXX0Z,True,XXXXXXXX4629,True,1960-11-08,Delhi,Delhi,79273.0,False,False,Unemployed,2026-03-30 00:00:00,VERIFIED,LOW,False
USR28574,Mohini Ghose,RIXXXXXX0L,True,XXXXXXXX3395,True,2007-06-13,Amritsar,Punjab,29266.0,False,False,Gig Worker,2026-03-30 00:00:00,PENDING,HIGH,False
USR54653,DIYA BHASIN,PWXXXXXX9F,True,XXXXXXXX58XX,False,1987-06-14,Bengaluru,Karnataka,22931.0,False,False,Retired,2026-03-30 00:00:00,VERIFIED,LOW,False
USR90836,Jonathan Mall,SJXXXXXX5O,True,XXXXXXXX5786,True,2002-08-30,Delhi,Delhi,40737.0,False,False,Retired,2026-03-30 00:00:00,PENDING,MEDIUM,False
USR57893,Ekalinga Dhingra,JNXXXXXX7X,False,XXXXXXXX9970,True,1972-06-14,Jaipur,Rajasthan,26211.0,False,False,Salaried,2026-03-30 00:00:00,VERIFIED,LOW,False
USR80734,chatresh mahal,GZXXXXXX3V,True,XXXXXXXX3490,True,1983-12-14,Lucknow,Uttar Pradesh,54300.0,False,False,Farmer,2026-03-30 00:00:00,PENDING,MEDIUM,False
USR73307,Henry Patil,TTXXXXXX5L,True,XXXXXXXXXXXX,False,1965-08-11,Amritsar,Punjab,50303.0,False,False,Student,2026-03-30 00:00:00,VERIFIED,LOW,False
USR58058,Lajita Pingle,LNXXXXXX7P,True,XXXXXXXX7009,True,1969-08-04,Ludhiana,Punjab,9778.0,False,False,Salaried,2026-03-29 18:32:00,VERIFIED,LOW,False
USR55973,Vihaan Chaudhry,VHXXXXXX6Q,True,XXXXXXXX4645,True,1988-10-01,Bengaluru,Karnataka,26310.0,False,False,Retired,2026-03-29 17:53:00,VERIFIED,LOW,False
USR98822,Ojasvi Naik,FGXXXXXX2U,True,XXXXXXXX8019,True,1983-04-08,Pune,Maharashtra,90477.0,False,False,Gig Worker,2026-03-29 15:59:00,VERIFIED,LOW,False
USR44201,Kevin Nadig,ZYXXXXXX6M,True,XXXXXXXX5163,True,1974-12-19,Bengaluru,Karnataka,32066.0,False,False,Student,2026-03-29 11:50:00,VERIFIED,HIGH,False
USR29964,parth pandya,FSXXXXXX2J,True,XXXXXXXX6093,True,1999-09-13,Bengaluru,Karnataka,26327.0,False,False,Gig Worker,2026-03-29 10:18:00,VERIFIED,MEDIUM,False
USR88661,LIBNI LOYAL,IRXXXXXX7Z,True,XXXXXXXX2607,True,1987-10-20,Kolkata,West Bengal,61188.0,False,False,Self Employed,2026-03-29 09:34:57,VERIFIED,LOW,False
USR67235,Andrew Ghose,WHXXXXXX8O,True,XXXXXXXX9010,True,1983-01-17,Ludhiana,Punjab,51264.0,False,False,Retired,2026-03-29 08:17:24,VERIFIED,LOW,False
USR41216,Inaya Merchant,ZPXXXXXX1C,True,XXXXXXXX7527,True,2003-02-21,Delhi,Delhi,12300.0,False,False,Gig Worker,2026-03-29 06:01:38,VERIFIED,HIGH,False
USR76595,Ekbal Thakkar,IJXXXXXX6W,True,XXXXXXXX0638,True,1989-01-24,Chennai,Tamil Nadu,12546.0,False,False,Gig Worker,2026-03-29 05:08:00,VERIFIED,MEDIUM,False
USR60694,Ayushman Buch,XVXXXXXX1J,True,XXXXXXXX2743,True,2003-07-03,Delhi,Delhi,31612.0,False,False,Farmer,2026-03-29 03:08:00,VERIFIED,MEDIUM,False
USR53166,William Barad,RTXXXXXX1F,True,XXXXXXXX7858,True,2000-06-29,Ludhiana,Punjab,7210.0,False,False,Gig Worker,2026-03-29 00:00:00,VERIFIED,LOW,False
USR29794,Warhi Sandhu,XCXXXXXX6P,True,XXXXXXXX7737,True,1960-10-26,Hyderabad,Telangana,21757.0,False,False,Salaried,2026-03-29 00:00:00,VERIFIED,HIGH,False
USR41926,Michael Kant,WMXXXXXX9S,True,XXXXXXXX6544,True,1996-09-28,Hyderabad,Telangana,33478.0,False,False,Freelancer,2026-03-29 00:00:00,VERIFIED,LOW,False
USR56173,Nitara Kant,TZXXXXXX3V,True,XXXXXXXX6169,True,1999-08-01,Hyderabad,Telangana,8563.0,False,False,Farmer,2026-03-29 00:00:00,VERIFIED,LOW,False
USR87690,Amara Warrior,PNXXXXXX9U,True,XXXXXXXXXXXX,False,2001-10-08,Ludhiana,Punjab,38197.0,False,False,Gig Worker,2026-03-29 00:00:00,VERIFIED,LOW,False
USR85763,Jyoti Deol,RKXXXXXX4G,True,XXXXXXXX7528,True,1980-01-06,Pune,Maharashtra,16601.0,False,False,Self Employed,2026-03-29 00:00:00,VERIFIED,LOW,False
USR14807,ARUNIMA RANGANATHAN,UAXXXXXX9M,True,XXXXXXXX5138,True,1966-05-20,Kolkata,West Bengal,45115.0,False,False,Self Employed,2026-03-29 00:00:00,PENDING,LOW,False
USR93897,Leela Pau,SAXXXXXX4S,True,XXXXXXXX9230,False,2003-01-21,Jaipur,Rajasthan,40807.0,True,False,Farmer,2026-03-29 00:00:00,VERIFIED,MEDIUM,False
USR36404,ranbir lalla,IAXXXXXX7S,True,XXXXXXXX1328,True,1976-06-17,Kolkata,West Bengal,21793.0,False,False,Freelancer,2026-03-29 00:00:00,PENDING,HIGH,False
USR54187,Nandini Gara,HRXXXXXX7Z,True,XXXXXXXX8432,True,1996-08-16,Kolkata,West Bengal,30008.0,False,False,Gig Worker,2026-03-29 00:00:00,PENDING,MEDIUM,False
USR86332,FARIS SURI,IFXXXXXX3Y,True,XXXXXXXX8857,True,1974-10-16,Chennai,Tamil Nadu,36296.0,False,False,Self Employed,2026-03-29 00:00:00,VERIFIED,MEDIUM,False
USR96825,Frado Khare,XYXXXXXX3W,True,XXXXXXXX4024,True,2003-09-05,Amritsar,Punjab,43167.0,False,False,Salaried,2026-03-29 00:00:00,PENDING,LOW,False
USR62948,Lakshit Banik,UVXXXXXX3X,True,XXXXXXXX0156,True,1986-12-16,Chennai,Tamil Nadu,27288.0,False,False,Student,2026-03-29 00:00:00,PENDING,LOW,False
USR58196,Nathan Hayer,KBXXXXXX3M,True,XXXXXXXX0288,True,1969-06-06,Chennai,Tamil Nadu,18205.0,False,False,Farmer,2026-03-29 00:00:00,VERIFIED,LOW,False
USR54096,Kevin Morar,HSXXXXXX4Y,True,XXXXXXXX8305,True,1963-12-27,Amritsar,Punjab,26897.0,False,False,Business Owner,2026-03-29 00:00:00,PENDING,LOW,False
USR67382,Char1es Biswas,RGXXXXXX1G,True,XXXXXXXX6777,True,1965-07-10,Bengaluru,Karnataka,31542.0,False,False,Gig Worker,2026-03-29 00:00:00,VERIFIED,LOW,False
USR45348,Urmi Mukhopadhyay,XBXXXXXX2G,True,XXXXXXXX9057,True,2005-06-28,Hyderabad,Telangana,33337.0,False,False,Self Employed,2026-03-29 00:00:00,VERIFIED,HIGH,False
USR66077,Priya Contractor,RHXXXXXX1W,True,XXXXXXXX4123,True,1962-03-02,Mumbai,Maharashtra,54161.0,False,False,Business Owner,2026-03-29 00:00:00,VERIFIED,MEDIUM,False
USR56124,Panini Iyer,AGXXXXXX9K,True,XXXXXXXXXXXX,False,1996-08-14,Amritsar,Punjab,13189.0,False,False,Gig Worker,2026-03-29 00:00:00,VERIFIED,MEDIUM,False
USR43373,Orinder Divan,HKXXXXXX4N,True,XXXXXXXX7973,True,1988-12-07,Kolkata,West Bengal,25178.0,False,False,Retired,2026-03-29 00:00:00,VERIFIED,LOW,False
USR63827,Max Trivedi,EBXXXXXX4N,True,XXXXXXXX7794,True,1987-11-10,Pune,Maharashtra,53831.0,False,False,Farmer,2026-03-28 23:52:03,VERIFIED,MEDIUM,False
USR87661,Bhanumati Mangal,YEXXXXXX2E,True,XXXXXXXX4644,True,1961-09-26,Amritsar,Punjab,30434.0,False,False,Student,2026-03-28 23:38:57,VERIFIED,LOW,False
USR96820,Dalaja Kala,XWXXXXXX3X,True,XXXXXXXX9025,True,1983-07-13,Pune,Maharashtra,20869.0,False,False,Self Employed,2026-03-28 22:21:07,REJECTED,LOW,False
USR52262,Bhavini Taneja,VHXXXXXX1V,True,XXXXXXXX3251,True,2004-03-03,Amritsar,Punjab,87306.0,False,False,Freelancer,2026-03-28 18:59:53,PENDING,LOW,False
USR16196,radha sethi,GUXXXXXX3Z,True,XXXXXXXX2360,True,1987-04-18,Bengaluru,Karnataka,66100.0,False,False,Salaried,2026-03-28 18:52:24,VERIFIED,MEDIUM,False
USR96169,Victor Patla,DFXXXXXX0L,True,XXXXXXXX2878,True,1964-10-09,Jalandhar,Punjab,32456.0,False,False,Business Owner,2026-03-28 16:01:10,VERIFIED,MEDIUM,False
USR59833,Mitali Tripathi,ULXXXXXX0R,True,XXXXXXXXXXXX,False,1986-02-23,Jaipur,Rajasthan,14758.0,False,False,Gig Worker,2026-03-28 15:10:11,VERIFIED,MEDIUM,False
USR16465,Mitesh Bail,LXXXXXXX1Q,True,XXXXXXXXXXXX,False,1973-04-30,Mumbai,Maharashtra,53006.0,False,False,Retired,2026-03-28 00:00:00,VERIFIED,HIGH,False
USR77896,Irya Acharya,XXXXXXXX8O,True,XXXXXXXX7241,True,1976-09-08,Lucknow,Uttar Pradesh,11528.0,False,False,Student,2026-03-28 00:00:00,PENDING,LOW,False
USR50037,YAMINI GREWAL,QTXXXXXX1M,True,XXXXXXXX1620,True,1983-01-21,Jaipur,Rajasthan,22889.0,False,False,Student,2026-03-28 00:00:00,VERIFIED,LOW,False
USR59782,Ladli Mukherjee,IBXXXXXX9R,True,XXXXXXXXXXXX,False,2005-10-14,Chennai,Tamil Nadu,19666.0,False,False,Gig Worker,2026-03-28 00:00:00,PENDING,LOW,False
USR47896,Charvi Tara,VAXXXXXX9H,True,XXXXXXXX0913,True,1986-11-16,Lucknow,Uttar Pradesh,59685.0,False,False,Farmer,2026-03-28 00:00:00,VERIFIED,MEDIUM,False
USR27101,Harsh Vasa,NTXXXXXX2Z,True,XXXXXXXX8013,False,1991-05-24,Mumbai,Maharashtra,9402.0,True,False,Freelancer,2026-03-28 00:00:00,PENDING,MEDIUM,False
USR92979,Dipta Buch,MKXXXXXX3Z,True,XXXXXXXX4578,True,2001-04-15,Hyderabad,Telangana,8619.0,False,False,Unemployed,2026-03-28 00:00:00,VERIFIED,LOW,False
USR97944,ChakrikaNarayan,GOXXXXXX7K,True,XXXXXXXX8436,True,1983-07-05,Ludhiana,Punjab,22756.0,False,False,Business Owner,2026-03-28 00:00:00,PENDING,MEDIUM,False
USR33003,Bahadurjit Palla,OGXXXXXX9F,True,XXXXXXXX9945,True,1973-10-03,Mumbai,Maharashtra,83664.0,False,False,Retired,2026-03-28 00:00:00,PENDING,LOW,False
USR63067,Ekiya Zachariah,VOXXXXXX0K,True,XXXXXXXX8700,True,1962-09-15,Hyderabad,Telangana,20400.0,False,False,Freelancer,2026-03-28 00:00:00,PENDING,HIGH,False
USR36225,Eesha Toor,V0XXXXXX6H,False,XXXXXXXX2134,True,1973-02-13,Hyderabad,Telangana,10336.0,False,False,Gig Worker,2026-03-28 00:00:00,VERIFIED,LOW,False
USR68177,Ekanta Raval,IGXXXXXX3Y,True,XXXXXXXXXXXX,False,1966-08-30,Chennai,Tamil Nadu,65030.0,False,False,Salaried,2026-03-28 00:00:00,PENDING,LOW,False
USR45701,Manthan Tiwari,MIXXXXXX4X,False,XXXXXXXX7920,True,1962-04-01,Kolkata,West Bengal,14953.0,False,False,Freelancer,2026-03-28 00:00:00,VERIFIED,LOW,False
USR91021,Ronith Mangal,IIXXXXXX5M,True,XXXXXXXX3948,True,1996-02-02,Pune,Maharashtra,16909.0,False,False,Farmer,2026-03-28 00:00:00,VERIFIED,MEDIUM,False
USR66212,Shaurya Dave,QQXXXXXX0X,True,XXXXXXXX8947,True,1971-08-05,Delhi,Delhi,49497.0,True,False,Business Owner,2026-03-28 00:00:00,VERIFIED,LOW,False
USR64316,Vyanjana Dyal,BWXXXXXX6P,True,XXXXXXXX4585,False,1965-03-03,Delhi,Delhi,43200.0,False,False,Self Employed,2026-03-28 00:00:00,VERIFIED,LOW,False
USR26274,Eesha Singhal,SDXXXXXX8S,True,XXXXXXXX9593,True,1976-01-18,Hyderabad,Telangana,23036.0,False,False,Gig Worker,2026-03-28 00:00:00,VERIFIED,LOW,False
USR63128,Nikita Sangha,TEXXXXXX0H,True,XXXXXXXX0330,True,1995-02-14,Lucknow,Uttar Pradesh,18914.0,False,False,Gig Worker,2026-03-27 23:04:43,VERIFIED,LOW,False
USR31604,Jack Yohannan,WUXXXXXX9O,True,XXXXXXXX59XX,False,1994-01-06,Jaipur,Rajasthan,22083.0,False,False,Unemployed,2026-03-27 18:36:00,VERIFIED,LOW,False
USR37909,Nakul Naidu,VTXXXXXX8R,True,XXXXXXXX7413,True,1961-01-26,Delhi,Delhi,52479.0,False,False,Unemployed,2026-03-27 17:59:02,VERIFIED,LOW,False
USR54183,Utkarsh Thaman,NHXXXXXX7T,True,XXXXXXXX5869,True,1979-01-20,Amritsar,Punjab,25441.0,False,False,Farmer,2026-03-27 16:08:00,PENDING,LOW,False
USR88914,Advika Master,IHXXXXXX5Z,True,XXXXXXXX0455,True,1965-08-06,Bengaluru,Karnataka,36938.0,False,False,Retired,2026-03-27 15:44:12,VERIFIED,LOW,False
USR83855,Manan Bains,NDXXXXXX7W,True,XXXXXXXX6497,True,1964-08-07,Hyderabad,Telangana,21641.0,False,False,Farmer,2026-03-27 13:49:26,VERIFIED,LOW,False
USR33543,TRISTAN DEVAN,XIXXXXXX0P,True,XXXXXXXX5100,True,1978-06-16,Ludhiana,Punjab,24551.0,False,False,Self Employed,2026-03-27 09:05:09,VERIFIED,LOW,False
USR15085,Aadi Parekh,HPXXXXXX5J,True,XXXXXXXX8994,True,1993-01-24,Bengaluru,Karnataka,21343.0,False,False,Retired,2026-03-27 00:00:00,VERIFIED,LOW,False
USR66811,Patrick Bala,0EXXXXXX6L,False,XXXXXXXX6824,True,1962-05-15,Mumbai,Maharashtra,39087.0,False,False,Gig Worker,2026-03-27 00:00:00,VERIFIED,MEDIUM,False
USR86082,Yadavi Dhar,MDXXXXXX0O,True,XXXXXXXX1135,True,1998-09-18,Kolkata,West Bengal,61140.0,False,False,Self Employed,2026-03-27 00:00:00,VERIFIED,LOW,False
USR56696,Chanchal Thakkar,GJXXXXXX8Q,True,XXXXXXXX0687,True,1964-11-25,Chennai,Tamil Nadu,23800.0,False,False,Gig Worker,2026-03-27 00:00:00,PENDING,MEDIUM,False
USR52689,Chavvi Kumar,1BXXXXXX8X,False,XXXXXXXX9416,True,1965-05-02,Jaipur,Rajasthan,18100.0,False,False,Business Owner,2026-03-27 00:00:00,PENDING,LOW,False
USR58019,UNNI CHOUDHRY,CNXXXXXX2M,True,XXXXXXXX1721,True,1962-12-05,Lucknow,Uttar Pradesh,64100.0,False,False,Salaried,2026-03-27 00:00:00,VERIFIED,LOW,False
USR61647,Frederick Ramesh,CTXXXXXX0G,True,XXXXXXXX9257,True,1993-06-03,Bengaluru,Karnataka,20368.0,False,False,Freelancer,2026-03-27 00:00:00,VERIFIED,LOW,False
USR30412,HEMANI BASU,JAXXXXXX8T,True,XXXXXXXX1605,True,1975-11-29,Jalandhar,Punjab,21171.0,False,False,Business Owner,2026-03-27 00:00:00,VERIFIED,LOW,False
USR28101,Vedhika Chatterjee,QJXXXXXX1G,True,XXXXXXXX3545,True,2001-02-27,Hyderabad,Telangana,49839.0,False,False,Self Employed,2026-03-27 00:00:00,PENDING,LOW,False
USR17732,RISHI KRISHNAN,WSXXXXXX8V,True,XXXXXXXX9480,True,1997-04-01,Jaipur,Rajasthan,31173.0,False,False,Salaried,2026-03-27 00:00:00,PENDING,LOW,False
USR48908,ArjunDash,ILXXXXXX8J,True,XXXXXXXX0060,True,1962-02-11,Chennai,Tamil Nadu,9503.0,False,False,Unemployed,2026-03-27 00:00:00,VERIFIED,HIGH,False
USR18302,Vanya Mallick,DBXXXXXX0S,True,XXXXXXXXXXXX,False,1960-09-19,Lucknow,Uttar Pradesh,63325.0,False,False,Business Owner,2026-03-27 00:00:00,VERIFIED,MEDIUM,False
USR41387,Anjali Dhar,SFXXXXXX3B,True,XXXXXXXX3926,True,1987-02-18,Chennai,Tamil Nadu,34037.0,False,False,Unemployed,2026-03-27 00:00:00,PENDING,LOW,False
USR43133,William Ratta,KDXXXXXX5H,True,XXXXXXXX20XX,False,1972-09-20,Amritsar,Punjab,77989.0,True,False,Salaried,2026-03-27 00:00:00,VERIFIED,LOW,False
USR14106,Nachiket Karan,OBXXXXXX9Y,True,XXXXXXXX8747,True,1986-06-15,Ludhiana,Punjab,28546.0,False,False,Freelancer,2026-03-27 00:00:00,PENDING,LOW,False
USR68671,Mitesh Ganesan,TRXXXXXX8R,True,XXXXXXXXXXXX,False,1977-02-06,Pune,Maharashtra,13908.0,False,False,Salaried,2026-03-27 00:00:00,VERIFIED,MEDIUM,False
USR33300,Januja Bakshi,BAXXXXXX5C,True,XXXXXXXX7862,True,1979-08-30,Lucknow,Uttar Pradesh,22117.0,False,False,Self Employed,2026-03-27 00:00:00,VERIFIED,LOW,False
USR72999,Bhavya Mitra,FSXXXXXX6I,True,XXXXXXXX2603,True,1984-10-05,Hyderabad,Telangana,41260.0,False,False,Salaried,2026-03-27 00:00:00,VERIFIED,LOW,False
USR25145,Triveni Agarwal,XPXXXXXX2P,True,XXXXXXXX8622,True,1962-09-30,Chennai,Tamil Nadu,27862.0,True,False,Student,2026-03-27 00:00:00,VERIFIED,MEDIUM,False
USR34526,Falak Das,CVXXXXXX7V,True,XXXXXXXXXXXX,False,1997-09-25,Amritsar,Punjab,18300.0,False,False,Student,2026-03-27 00:00:00,VERIFIED,MEDIUM,False
USR33787,Madhavi Majumdar,BRXXXXXX6Z,True,XXXXXXXX4621,True,1975-10-09,Hyderabad,Telangana,33650.0,False,False,Retired,2026-03-27 00:00:00,PENDING,LOW,False
USR30006,RADHIKA HAYER,PWXXXXXX0X,False,XXXXXXXX1584,True,1971-12-26,Jalandhar,Punjab,34159.0,False,False,Unemployed,2026-03-27 00:00:00,VERIFIED,HIGH,False
USR32175,Sathvik Banik,OSXXXXXX8R,True,XXXXXXXXXXXX,False,1969-03-22,Ludhiana,Punjab,62936.0,False,False,Gig Worker,2026-03-27 00:00:00,VERIFIED,MEDIUM,False
USR99693,Arunima Uppal,KAXXXXXX9K,True,XXXXXXXX09XX,False,1983-05-25,Jalandhar,Punjab,70229.0,False,False,Retired,2026-03-26 20:33:10,VERIFIED,LOW,False
USR86335,ROBERT PRASAD,MPXXXXXX8X,True,XXXXXXXXXXXX,False,1960-05-09,Pune,Maharashtra,6724.0,False,False,Farmer,2026-03-26 06:58:00,PENDING,LOW,False
USR86205,Rachana Amble,TNXXXXXX0F,True,XXXXXXXX5352,True,1964-10-28,Delhi,Delhi,8365.0,False,False,Self Employed,2026-03-26 04:36:57,VERIFIED,MEDIUM,False
USR92100,meera puri,NDXXXXXX0K,True,XXXXXXXX4843,True,1994-10-26,Bengaluru,Karnataka,57669.0,False,False,Freelancer,2026-03-26 02:46:00,PENDING,LOW,False
